,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
Cesc Fàbregas,31.0,6.0,1.0,180.0,0.0,0.0,1.0,1.0,0.0,85.5,19.0
Davide Zappacosta,26.0,4.0,1.0,128.0,0.0,0.0,0.0,2.0,0.0,84.6,7.0
Victor Moses,27.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,78.6,1.0
Gary Cahill,32.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,90.0,6.0
Hugo Lloris,31.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,76.1,0.0
Toby Alderweireld,29.0,34.0,33.0,2922.0,0.0,0.0,3.0,17.0,0.0,88.3,133.0
Christian Eriksen,26.0,35.0,30.0,2774.0,8.0,12.0,3.0,84.0,12.0,77.6,228.0
Harry Kane,25.0,28.0,27.0,2424.0,17.0,4.0,5.0,97.0,4.0,73.6,81.0
Moussa Sissoko,28.0,29.0,27.0,2330.0,0.0,3.0,2.0,15.0,0.0,86.3,102.0
Kieran Trippier,27.0,27.0,26.0,2276.0,1.0,3.0,2.0,8.0,4.0,75.8,262.0
Lucas Moura,25.0,32.0,25.0,2121.0,10.0,0.0,3.0,45.0,0.0,75.3,61.0
Son Heung-min,26.0,31.0,23.0,2039.0,12.0,6.0,2.0,75.0,1.0,83.7,71.0
Davinson Sánchez,22.0,23.0,22.0,1942.0,1.0,1.0,2.0,12.0,0.0,90.5,52.0
Jan Vertonghen,31.0,22.0,22.0,1911.0,1.0,0.0,4.0,16.0,0.0,87.2,93.0
Dele Alli,22.0,25.0,22.0,1825.0,5.0,3.0,4.0,40.0,1.0,80.3,99.0
Ben Davies,25.0,27.0,20.0,1844.0,0.0,0.0,2.0,15.0,0.0,81.5,145.0
Danny Rose,28.0,26.0,20.0,1798.0,0.0,3.0,5.0,15.0,0.0,74.1,130.0
Eric Dier,24.0,20.0,18.0,1506.0,3.0,0.0,4.0,9.0,0.0,84.1,78.0
Harry Winks,22.0,26.0,17.0,1597.0,1.0,0.0,4.0,9.0,0.0,92.0,85.0
Juan Foyth,20.0,12.0,10.0,888.0,1.0,0.0,3.0,5.0,0.0,86.1,24.0
Érik Lamela,26.0,19.0,9.0,974.0,4.0,2.0,2.0,29.0,1.0,82.0,47.0
Mousa Dembélé,31.0,10.0,7.0,515.0,0.0,0.0,1.0,1.0,0.0,90.3,23.0
Fernando Llorente,33.0,20.0,6.0,694.0,1.0,4.0,2.0,23.0,0.0,69.1,6.0
Serge Aurier,25.0,8.0,6.0,564.0,0.0,2.0,1.0,4.0,0.0,73.8,40.0
Victor Wanyama,27.0,13.0,4.0,516.0,1.0,0.0,2.0,7.0,0.0,82.5,16.0
Kyle Walker-Peters,21.0,6.0,4.0,376.0,0.0,3.0,1.0,2.0,0.0,82.3,21.0
Paulo Gazzaniga,26.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0
Oliver Skipp,17.0,8.0,2.0,220.0,0.0,0.0,0.0,2.0,0.0,84.7,5.0
Michel Vorm,34.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0
Vincent Janssen,24.0,3.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,70.0,0.0
Georges-Kévin N'Koudou,23.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,75.0,1.0
Luke Amos,21.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Bernd Leno,26.0,32.0,31.0,2836.0,0.0,0.0,0.0,0.0,0.0,70.7,2.0
Shkodran Mustafi,26.0,31.0,31.0,2611.0,2.0,0.0,9.0,19.0,0.0,82.3,105.0
Pierre-Emerick Aubameyang,29.0,36.0,30.0,2726.0,22.0,5.0,0.0,89.0,0.0,70.9,68.0
Granit Xhaka,25.0,29.0,29.0,2498.0,4.0,2.0,10.0,30.0,7.0,82.2,272.0
Alexandre Lacazette,27.0,35.0,27.0,2502.0,13.0,8.0,2.0,81.0,1.0,72.6,79.0
Sokratis Papastathopoulos,30.0,25.0,25.0,2198.0,1.0,2.0,12.0,10.0,0.0,89.8,40.0
Lucas Torreira,22.0,34.0,24.0,2382.0,2.0,2.0,7.0,24.0,2.0,87.5,137.0
Mattéo Guendouzi,19.0,33.0,23.0,2149.0,0.0,0.0,9.0,15.0,0.0,87.0,146.0
Alex Iwobi,22.0,35.0,22.0,1970.0,3.0,6.0,0.0,35.0,0.0,75.1,130.0
Sead Kolašinac,25.0,24.0,22.0,1887.0,0.0,5.0,5.0,10.0,0.0,79.3,117.0
Nacho Monreal,32.0,22.0,21.0,1861.0,1.0,3.0,5.0,9.0,0.0,86.5,101.0
Mesut Özil,29.0,24.0,20.0,1735.0,5.0,2.0,2.0,11.0,0.0,87.2,147.0
Henrikh Mkhitaryan,29.0,25.0,19.0,1641.0,6.0,4.0,1.0,50.0,1.0,75.8,96.0
Héctor Bellerín,23.0,19.0,18.0,1533.0,0.0,5.0,3.0,18.0,0.0,83.8,104.0
Aaron Ramsey,27.0,28.0,14.0,1331.0,4.0,6.0,0.0,33.0,0.0,81.9,70.0
Laurent Koscielny,32.0,17.0,13.0,1331.0,3.0,0.0,1.0,5.0,0.0,92.4,27.0
Ainsley Maitland-Niles,20.0,16.0,11.0,987.0,1.0,1.0,2.0,6.0,0.0,79.5,73.0
Stephan Lichtsteiner,34.0,14.0,10.0,938.0,0.0,0.0,3.0,1.0,0.0,76.7,47.0
Rob Holding,22.0,10.0,9.0,807.0,0.0,0.0,1.0,1.0,0.0,87.9,23.0
