,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Ben Mee,28.0,38.0,38.0,3420.0,0.0,2.0,9.0,23.0,0.0,75.4,99.0,87.0,9.0,9.0,955.0
Jack Cork,29.0,37.0,37.0,3312.0,1.0,2.0,6.0,15.0,0.0,80.1,95.0,332.0,27.0,29.0,996.0
Charlie Taylor,24.0,38.0,35.0,3243.0,0.0,1.0,2.0,6.0,0.0,71.7,163.0,579.0,41.0,43.0,1008.0
James Tarkowski,25.0,35.0,35.0,3086.0,3.0,1.0,8.0,24.0,0.0,70.7,102.0,76.0,7.0,9.0,703.0
Ashley Westwood,28.0,34.0,31.0,2824.0,2.0,7.0,5.0,22.0,1.0,73.9,200.0,458.0,11.0,11.0,1013.0
Chris Wood,26.0,38.0,29.0,2588.0,10.0,2.0,2.0,58.0,0.0,66.1,26.0,487.0,14.0,15.0,725.0
Ashley Barnes,28.0,37.0,26.0,2388.0,12.0,2.0,8.0,61.0,0.0,61.9,45.0,450.0,11.0,12.0,631.0
Jeff Hendrick,26.0,32.0,25.0,2063.0,3.0,0.0,4.0,19.0,1.0,73.3,59.0,327.0,14.0,18.0,557.0
Jóhann Berg Guðmundsson,27.0,29.0,19.0,1752.0,3.0,6.0,2.0,34.0,7.0,66.7,87.0,455.0,18.0,19.0,497.0
Matthew Lowton,29.0,21.0,19.0,1750.0,0.0,0.0,7.0,5.0,0.0,68.5,131.0,282.0,14.0,15.0,467.0
Joe Hart,31.0,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,0.0,45.2,4.0,1.0,0.0,0.0,197.0
Tom Heaton,32.0,19.0,19.0,1710.0,0.0,0.0,3.0,1.0,0.0,48.5,8.0,2.0,1.0,1.0,189.0
Phil Bardsley,33.0,19.0,19.0,1670.0,0.0,0.0,9.0,12.0,0.0,67.9,117.0,222.0,5.0,7.0,405.0
